Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Ranui,Ranui,2000-01-01,2026-06-01,626900,555,4.60%,direct,Ranui has a gross yield of 4.60%.,,Ranui has a gross yield of 4.60%.
Raumati Beach,Raumati Beach,2000-01-01,2026-06-01,854650,593,3.61%,direct,Raumati Beach has a gross yield of 3.61%.,,Raumati Beach has a gross yield of 3.61%.
Raumati South,Raumati South,2000-01-01,2026-06-01,870500,640,3.82%,direct,Raumati South has a gross yield of 3.82%.,,Raumati South has a gross yield of 3.82%.
Remutaka Forest Park,Remutaka Forest Park,2000-01-01,2026-06-01,N/A,N/A,5.06%,calculated,,"The exact yield data for Remutaka Forest Park was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%.","The exact yield data for Remutaka Forest Park was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%."
Riversdale Beach,Riversdale Beach,2000-01-01,2026-06-01,N/A,N/A,,calculated,,"The exact yield data for Riversdale Beach was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Riversdale Beach was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Riverstone Terraces,Riverstone Terraces,2000-01-01,2026-06-01,991250,805,4.22%,direct,Riverstone Terraces has a gross yield of 4.22%.,,Riverstone Terraces has a gross yield of 4.22%.
Rongotai,Rongotai,2000-01-01,2026-06-01,891000,500,2.92%,direct,Rongotai has a gross yield of 2.92%.,,Rongotai has a gross yield of 2.92%.
Roseneath,Roseneath,2000-01-01,2026-06-01,1420900,725,2.65%,direct,Roseneath has a gross yield of 2.65%.,,Roseneath has a gross yield of 2.65%.
Seatoun,Seatoun,2000-01-01,2026-06-01,1643000,850,2.69%,direct,Seatoun has a gross yield of 2.69%.,,Seatoun has a gross yield of 2.69%.
Seaview,Seaview,2000-01-01,2026-06-01,N/A,N/A,3.67%,calculated,,"The exact yield data for Seaview was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.67%.","The exact yield data for Seaview was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.67%."
Silverstream,Silverstream,2000-01-01,2026-06-01,841250,655,4.05%,direct,Silverstream has a gross yield of 4.05%.,,Silverstream has a gross yield of 4.05%.
Solway,Solway,2000-01-01,2026-06-01,593650,530,4.64%,direct,Solway has a gross yield of 4.64%.,,Solway has a gross yield of 4.64%.
Southgate,Southgate,2000-01-01,2026-06-01,998600,655,3.41%,direct,Southgate has a gross yield of 3.41%.,,Southgate has a gross yield of 3.41%.
Stokes Valley,Stokes Valley,2000-01-01,2026-06-01,623450,610,5.09%,direct,Stokes Valley has a gross yield of 5.09%.,,Stokes Valley has a gross yield of 5.09%.
Strathmore Park,Strathmore Park,2000-01-01,2026-06-01,865100,720,4.33%,direct,Strathmore Park has a gross yield of 4.33%.,,Strathmore Park has a gross yield of 4.33%.
Sunshine Bay,Sunshine Bay,2000-01-01,2026-06-01,N/A,N/A,4.05%,calculated,,"The exact yield data for Sunshine Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.05%.","The exact yield data for Sunshine Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.05%."
Taita,Taita,2000-01-01,2026-06-01,561550,570,5.28%,direct,Taita has a gross yield of 5.28%.,,Taita has a gross yield of 5.28%.
Takapu Valley,Takapu Valley,2000-01-01,2026-06-01,N/A,N/A,4.37%,calculated,,"The exact yield data for Takapu Valley was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.37%.","The exact yield data for Takapu Valley was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.37%."
Takapuwahia,Takapuwahia,2000-01-01,2026-06-01,633600,500,4.10%,direct,Takapuwahia has a gross yield of 4.10%.,,Takapuwahia has a gross yield of 4.10%.
Tawa,Tawa,2000-01-01,2026-06-01,799750,640,4.16%,direct,Tawa has a gross yield of 4.16%.,,Tawa has a gross yield of 4.16%.
Te Aro,Te Aro,2000-01-01,2026-06-01,561000,520,4.82%,direct,Te Aro has a gross yield of 4.82%.,,Te Aro has a gross yield of 4.82%.
Te Horo Beach,Te Horo Beach,2000-01-01,2026-06-01,N/A,N/A,,calculated,,"The exact yield data for Te Horo Beach was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Te Horo Beach was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Te Marua,Te Marua,2000-01-01,2026-06-01,N/A,N/A,,calculated,,"The exact yield data for Te Marua was not available. However, the surrounding suburbs (which had data) produce an average yield of .","The exact yield data for Te Marua was not available. However, the surrounding suburbs (which had data) produce an average yield of ."
Thorndon,Thorndon,2000-01-01,2026-06-01,821550,620,3.92%,direct,Thorndon has a gross yield of 3.92%.,,Thorndon has a gross yield of 3.92%.
Timberlea,Timberlea,2000-01-01,2026-06-01,767900,620,4.20%,direct,Timberlea has a gross yield of 4.20%.,,Timberlea has a gross yield of 4.20%.
Tirohanga,Tirohanga,2000-01-01,2026-06-01,934800,800,4.45%,direct,Tirohanga has a gross yield of 4.45%.,,Tirohanga has a gross yield of 4.45%.
Titahi Bay,Titahi Bay,2000-01-01,2026-06-01,699300,580,4.31%,direct,Titahi Bay has a gross yield of 4.31%.,,Titahi Bay has a gross yield of 4.31%.
Totara Park,Totara Park,2000-01-01,2026-06-01,677750,595,4.57%,direct,Totara Park has a gross yield of 4.57%.,,Totara Park has a gross yield of 4.57%.
Trentham,Trentham,2000-01-01,2026-06-01,710850,550,4.02%,direct,Trentham has a gross yield of 4.02%.,,Trentham has a gross yield of 4.02%.
Vogeltown,Vogeltown,2000-01-01,2026-06-01,886750,675,3.96%,direct,Vogeltown has a gross yield of 3.96%.,,Vogeltown has a gross yield of 3.96%.
Wadestown,Wadestown,2000-01-01,2026-06-01,1179300,650,2.87%,direct,Wadestown has a gross yield of 2.87%.,,Wadestown has a gross yield of 2.87%.
Waikanae,Waikanae,2000-01-01,2026-06-01,872650,655,3.90%,direct,Waikanae has a gross yield of 3.90%.,,Waikanae has a gross yield of 3.90%.
Waikanae Beach,Waikanae Beach,2000-01-01,2026-06-01,941900,635,3.51%,direct,Waikanae Beach has a gross yield of 3.51%.,,Waikanae Beach has a gross yield of 3.51%.
Wainuiomata,Wainuiomata,2000-01-01,2026-06-01,611650,595,5.06%,direct,Wainuiomata has a gross yield of 5.06%.,,Wainuiomata has a gross yield of 5.06%.
Wainuiomata Coast,Wainuiomata Coast,2000-01-01,2026-06-01,N/A,N/A,4.42%,calculated,,"The exact yield data for Wainuiomata Coast was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.42%.","The exact yield data for Wainuiomata Coast was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.42%."
Waitaha Cove,Waitaha Cove,2000-01-01,2026-06-01,N/A,N/A,3.82%,calculated,,"The exact yield data for Waitaha Cove was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%.","The exact yield data for Waitaha Cove was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.82%."
Waitangirua,Waitangirua,2000-01-01,2026-06-01,540400,560,5.39%,direct,Waitangirua has a gross yield of 5.39%.,,Waitangirua has a gross yield of 5.39%.
Waiwhetu,Waiwhetu,2000-01-01,2026-06-01,707000,600,4.41%,direct,Waiwhetu has a gross yield of 4.41%.,,Waiwhetu has a gross yield of 4.41%.
Wallaceville,Wallaceville,2000-01-01,2026-06-01,704350,605,4.47%,direct,Wallaceville has a gross yield of 4.47%.,,Wallaceville has a gross yield of 4.47%.
Waterloo,Waterloo,2000-01-01,2026-06-01,791350,660,4.34%,direct,Waterloo has a gross yield of 4.34%.,,Waterloo has a gross yield of 4.34%.
Wellington Central,Wellington Central,2000-01-01,2026-06-01,412950,450,5.67%,direct,Wellington Central has a gross yield of 5.67%.,,Wellington Central has a gross yield of 5.67%.
Whitby,Whitby,2000-01-01,2026-06-01,943000,720,3.97%,direct,Whitby has a gross yield of 3.97%.,,Whitby has a gross yield of 3.97%.
Wilton,Wilton,2000-01-01,2026-06-01,864700,580,3.49%,direct,Wilton has a gross yield of 3.49%.,,Wilton has a gross yield of 3.49%.
Woburn,Woburn,2000-01-01,2026-06-01,1079600,640,3.08%,direct,Woburn has a gross yield of 3.08%.,,Woburn has a gross yield of 3.08%.
Woodridge,Woodridge,2000-01-01,2026-06-01,939600,695,3.85%,direct,Woodridge has a gross yield of 3.85%.,,Woodridge has a gross yield of 3.85%.
York Bay,York Bay,2000-01-01,2026-06-01,N/A,N/A,5.06%,calculated,,"The exact yield data for York Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%.","The exact yield data for York Bay was not available. However, the surrounding suburbs (which had data) produce an average yield of 5.06%."
