Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Price,Rent,Yield,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Saint Albans,St Albans,2000-01-01,6/1/2026,N/A,N/A,3.57%,calculated,,"The exact yield data for Saint Albans was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.57%.","The exact yield data for Saint Albans was not available. However, the surrounding suburbs (which had data) produce an average yield of 3.57%."
Saint Martins,Saint Martins,2000-01-01,6/1/2026,787150,585,3.86%,direct,Saint Martins has a gross yield of 3.86%.,,Saint Martins has a gross yield of 3.86%.
Scarborough,Scarborough,2000-01-01,6/1/2026,1959550,850,2.26%,direct,Scarborough has a gross yield of 2.26%.,,Scarborough has a gross yield of 2.26%.
Shirley,Shirley,2000-01-01,6/1/2026,671950,550,4.26%,direct,Shirley has a gross yield of 4.26%.,,Shirley has a gross yield of 4.26%.
Sockburn,Sockburn,2000-01-01,6/1/2026,643600,600,4.85%,direct,Sockburn has a gross yield of 4.85%.,,Sockburn has a gross yield of 4.85%.
Somerfield,Somerfield,2000-01-01,6/1/2026,764100,560,3.81%,direct,Somerfield has a gross yield of 3.81%.,,Somerfield has a gross yield of 3.81%.
South New Brighton,South New Brighton,2000-01-01,6/1/2026,639750,600,4.88%,direct,South New Brighton has a gross yield of 4.88%.,,South New Brighton has a gross yield of 4.88%.
Southshore,Southshore,2000-01-01,6/1/2026,740400,580,4.07%,direct,Southshore has a gross yield of 4.07%.,,Southshore has a gross yield of 4.07%.
Spreydon,Spreydon,2000-01-01,6/1/2026,637950,550,4.48%,direct,Spreydon has a gross yield of 4.48%.,,Spreydon has a gross yield of 4.48%.
Strowan,Strowan,2000-01-01,6/1/2026,1356300,600,2.30%,direct,Strowan has a gross yield of 2.30%.,,Strowan has a gross yield of 2.30%.
Sumner,Sumner,2000-01-01,6/1/2026,1221400,625,2.66%,direct,Sumner has a gross yield of 2.66%.,,Sumner has a gross yield of 2.66%.
Sydenham,Sydenham,2000-01-01,6/1/2026,580000,520,4.66%,direct,Sydenham has a gross yield of 4.66%.,,Sydenham has a gross yield of 4.66%.
Templeton,Templeton,2000-01-01,6/1/2026,696750,590,4.40%,direct,Templeton has a gross yield of 4.40%.,,Templeton has a gross yield of 4.40%.
Upper Riccarton,Upper Riccarton,2000-01-01,6/1/2026,727950,630,4.50%,direct,Upper Riccarton has a gross yield of 4.50%.,,Upper Riccarton has a gross yield of 4.50%.
Waimairi Beach,Waimairi Beach,2000-01-01,6/1/2026,980350,750,3.98%,direct,Waimairi Beach has a gross yield of 3.98%.,,Waimairi Beach has a gross yield of 3.98%.
Wainoni,Wainoni,2000-01-01,6/1/2026,538500,570,5.50%,direct,Wainoni has a gross yield of 5.50%.,,Wainoni has a gross yield of 5.50%.
Waltham,Waltham,2000-01-01,6/1/2026,517400,495,4.97%,direct,Waltham has a gross yield of 4.97%.,,Waltham has a gross yield of 4.97%.
Westmorland,Westmorland,2000-01-01,6/1/2026,1178800,700,3.09%,direct,Westmorland has a gross yield of 3.09%.,,Westmorland has a gross yield of 3.09%.
Wigram,Wigram,2000-01-01,6/1/2026,875600,650,3.86%,direct,Wigram has a gross yield of 3.86%.,,Wigram has a gross yield of 3.86%.
Woolston,Woolston,2000-01-01,6/1/2026,N/A,N/A,4.57%,calculated,,"The exact yield data for Woolston was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.57%.","The exact yield data for Woolston was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.57%."
Yaldhurst,Yaldhurst,2000-01-01,6/1/2026,N/A,N/A,4.35%,calculated,,"The exact yield data for Yaldhurst was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.35%.","The exact yield data for Yaldhurst was not available. However, the surrounding suburbs (which had data) produce an average yield of 4.35%."
