Date,Median sale price
2015-04-01,425000
2015-05-01,407000
2015-06-01,422000
2015-07-01,420000
2015-08-01,415000
2015-09-01,425000
2015-10-01,421000
2015-11-01,425000
2015-12-01,425000
2016-01-01,425000
2016-02-01,424000
2016-03-01,430000
2016-04-01,430000
2016-05-01,440000
2016-06-01,431000
2016-07-01,430000
2016-08-01,422500
2016-09-01,440000
2016-10-01,430927
2016-11-01,445000
2016-12-01,442000
2017-01-01,425000
2017-02-01,430000
2017-03-01,449000
2017-04-01,445000
2017-05-01,435000
2017-06-01,435000
2017-07-01,420000
2017-08-01,427000
2017-09-01,431500
2017-10-01,450000
2017-11-01,460000
2017-12-01,435000
2018-01-01,435000
2018-02-01,445000
2018-03-01,450000
2018-04-01,441000
2018-05-01,445000
2018-06-01,432500
2018-07-01,430000
2018-08-01,425000
2018-09-01,447500
2018-10-01,465000
2018-11-01,445000
2018-12-01,455000
2019-01-01,430000
2019-02-01,455000
2019-03-01,459000
2019-04-01,450000
2019-05-01,445000
2019-06-01,445000
2019-07-01,446000
2019-08-01,440000
2019-09-01,450000
2019-10-01,465000
2019-11-01,465000
2019-12-01,460000
2020-01-01,465000
2020-02-01,474000
2020-03-01,488000
2020-04-01,464000
2020-05-01,460000
2020-06-01,470000
2020-07-01,477000
2020-08-01,498000
2020-09-01,504000
2020-10-01,510000
2020-11-01,525000
2020-12-01,540000
2021-01-01,507500
2021-02-01,560000
2021-03-01,575000
2021-04-01,566000
2021-05-01,580000
2021-06-01,565000
2021-07-01,597000
2021-08-01,620000
2021-09-01,657500
2021-10-01,665000
2021-11-01,690000
2021-12-01,680000
2022-01-01,650000
2022-02-01,717830
2022-03-01,700000
2022-04-01,680000
2022-05-01,687000
2022-06-01,685000
2022-07-01,675000
2022-08-01,650000
2022-09-01,675000
2022-10-01,659000
2022-11-01,665000
2022-12-01,651000
2023-01-01,642500
2023-02-01,670000
2023-03-01,680000
2023-04-01,665000
2023-05-01,649000
2023-06-01,657000
2023-07-01,665000
2023-08-01,659000
2023-09-01,680000
2023-10-01,680000
2023-11-01,700000
2023-12-01,665000
2024-01-01,646000
2024-02-01,705000
2024-03-01,695000
2024-04-01,670000
2024-05-01,680000
2024-06-01,690000
2024-07-01,650500
2024-08-01,662500
2024-09-01,690000
2024-10-01,700000
2024-11-01,699000
2024-12-01,700000
2025-01-01,677000
2025-02-01,705000
2025-03-01,690000
2025-04-01,695652
2025-05-01,680000
2025-06-01,675000
2025-07-01,677000
2025-08-01,690000
2025-09-01,709000
2025-10-01,708000
2025-11-01,725000
2025-12-01,721000
2026-01-01,700000
2026-02-01,719000
2026-03-01,715000
2026-04-01,705000
2026-05-01,725000
2026-06-01,710000
