Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Brooklyn,Brooklyn,2000-01-01,2026-06-01,4.99%,direct,"Between January 2000 and June 2026, Brooklyn achieved a capital growth of 4.99%.",,"Between January 2000 and June 2026, Brooklyn achieved a capital growth of 4.99%."
Brown Owl,Brown Owl,2000-01-01,2026-06-01,5.41%,direct,"Between January 2000 and June 2026, Brown Owl achieved a capital growth of 5.41%.",,"Between January 2000 and June 2026, Brown Owl achieved a capital growth of 5.41%."
Camborne,Camborne,2000-01-01,2026-06-01,4.97%,direct,"Between January 2000 and June 2026, Camborne achieved a capital growth of 4.97%.",,"Between January 2000 and June 2026, Camborne achieved a capital growth of 4.97%."
Cannons Creek,Cannons Creek,2000-01-01,2026-06-01,7.92%,direct,"Between January 2000 and June 2026, Cannons Creek achieved a capital growth of 7.92%.",,"Between January 2000 and June 2026, Cannons Creek achieved a capital growth of 7.92%."
Cape Palliser,Cape Palliser,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Cape Palliser was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Cape Palliser was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Carterton,Carterton,2000-01-01,2026-06-01,6.93%,direct,"Between January 2000 and June 2026, Carterton achieved a capital growth of 6.93%.",,"Between January 2000 and June 2026, Carterton achieved a capital growth of 6.93%."
Castlepoint,Castlepoint,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Castlepoint was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Castlepoint was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Churton Park,Churton Park,2000-01-01,2026-06-01,4.69%,direct,"Between January 2000 and June 2026, Churton Park achieved a capital growth of 4.69%.",,"Between January 2000 and June 2026, Churton Park achieved a capital growth of 4.69%."
Clouston Park,Clouston Park,2000-01-01,2026-06-01,6.07%,direct,"Between January 2000 and June 2026, Clouston Park achieved a capital growth of 6.07%.",,"Between January 2000 and June 2026, Clouston Park achieved a capital growth of 6.07%."
Crofton Downs,Crofton Downs,2000-01-01,2026-06-01,5.23%,direct,"Between January 2000 and June 2026, Crofton Downs achieved a capital growth of 5.23%.",,"Between January 2000 and June 2026, Crofton Downs achieved a capital growth of 5.23%."
Days Bay,Days Bay,2000-01-01,2026-06-01,5.76%,calculated,,"The exact capital growth data for Days Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.76%.","The exact capital growth data for Days Bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.76%."
Eastbourne,Eastbourne,2000-01-01,2026-06-01,4.47%,direct,"Between January 2000 and June 2026, Eastbourne achieved a capital growth of 4.47%.",,"Between January 2000 and June 2026, Eastbourne achieved a capital growth of 4.47%."
Ebdentown,Ebdentown,2000-01-01,2026-06-01,6.21%,direct,"Between January 2000 and June 2026, Ebdentown achieved a capital growth of 6.21%.",,"Between January 2000 and June 2026, Ebdentown achieved a capital growth of 6.21%."
Elderslea,Elderslea,2000-01-01,2026-06-01,6.04%,direct,"Between January 2000 and June 2026, Elderslea achieved a capital growth of 6.04%.",,"Between January 2000 and June 2026, Elderslea achieved a capital growth of 6.04%."
Elsdon,Elsdon,2000-01-01,2026-06-01,7.09%,direct,"Between January 2000 and June 2026, Elsdon achieved a capital growth of 7.09%.",,"Between January 2000 and June 2026, Elsdon achieved a capital growth of 7.09%."
Epuni,Epuni,2000-01-01,2026-06-01,5.12%,direct,"Between January 2000 and June 2026, Epuni achieved a capital growth of 5.12%.",,"Between January 2000 and June 2026, Epuni achieved a capital growth of 5.12%."
Fairfield,Fairfield,2000-01-01,2026-06-01,5.06%,direct,"Between January 2000 and June 2026, Fairfield achieved a capital growth of 5.06%.",,"Between January 2000 and June 2026, Fairfield achieved a capital growth of 5.06%."
Featherston,Featherston,2000-01-01,2026-06-01,7.42%,direct,"Between January 2000 and June 2026, Featherston achieved a capital growth of 7.42%.",,"Between January 2000 and June 2026, Featherston achieved a capital growth of 7.42%."
Glenside,Glenside,2000-01-01,2026-06-01,5.28%,calculated,,"The exact capital growth data for Glenside was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.28%.","The exact capital growth data for Glenside was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.28%."
Gracefield,Gracefield,2000-01-01,2026-06-01,6.31%,calculated,,"The exact capital growth data for Gracefield was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.31%.","The exact capital growth data for Gracefield was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.31%."
Grenada North,Grenada North,2000-01-01,2026-06-01,5.46%,calculated,,"The exact capital growth data for Grenada North was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.46%.","The exact capital growth data for Grenada North was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.46%."
Grenada Village,Grenada Village,2000-01-01,2026-06-01,5.20%,calculated,,"The exact capital growth data for Grenada Village was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.20%.","The exact capital growth data for Grenada Village was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.20%."
Greytown,Greytown,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Greytown was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Greytown was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Harbour View,Harbour View,2000-01-01,2026-06-01,4.92%,direct,"Between January 2000 and June 2026, Harbour View achieved a capital growth of 4.92%.",,"Between January 2000 and June 2026, Harbour View achieved a capital growth of 4.92%."
Hataitai,Hataitai,2000-01-01,2026-06-01,4.76%,direct,"Between January 2000 and June 2026, Hataitai achieved a capital growth of 4.76%.",,"Between January 2000 and June 2026, Hataitai achieved a capital growth of 4.76%."
Heretaunga,Heretaunga,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Heretaunga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Heretaunga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Highbury,Highbury,2000-01-01,2026-06-01,-100.00%,direct,"Between January 2000 and June 2026, Highbury achieved a capital growth of -100.00%.",,"Between January 2000 and June 2026, Highbury achieved a capital growth of -100.00%."
Hongoeka,Hongoeka,2000-01-01,2026-06-01,4.69%,calculated,,"The exact capital growth data for Hongoeka was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.69%.","The exact capital growth data for Hongoeka was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.69%."
Horokiwi,Horokiwi,2000-01-01,2026-06-01,5.65%,calculated,,"The exact capital growth data for Horokiwi was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.65%.","The exact capital growth data for Horokiwi was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.65%."
Houghton Bay,Houghton Bay,2000-01-01,2026-06-01,5.32%,direct,"Between January 2000 and June 2026, Houghton Bay achieved a capital growth of 5.32%.",,"Between January 2000 and June 2026, Houghton Bay achieved a capital growth of 5.32%."
Hutt Central,Hutt Central,2000-01-01,2026-06-01,4.25%,direct,"Between January 2000 and June 2026, Hutt Central achieved a capital growth of 4.25%.",,"Between January 2000 and June 2026, Hutt Central achieved a capital growth of 4.25%."
Island Bay,Island Bay,2000-01-01,2026-06-01,5.42%,direct,"Between January 2000 and June 2026, Island Bay achieved a capital growth of 5.42%.",,"Between January 2000 and June 2026, Island Bay achieved a capital growth of 5.42%."
Johnsonville,Johnsonville,2000-01-01,2026-06-01,5.23%,direct,"Between January 2000 and June 2026, Johnsonville achieved a capital growth of 5.23%.",,"Between January 2000 and June 2026, Johnsonville achieved a capital growth of 5.23%."
Kaiwharawhara,Kaiwharawhara,2000-01-01,2026-06-01,4.67%,calculated,,"The exact capital growth data for Kaiwharawhara was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.67%.","The exact capital growth data for Kaiwharawhara was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 4.67%."
Karaka Bays,Karaka Bays,2000-01-01,2026-06-01,4.26%,direct,"Between January 2000 and June 2026, Karaka Bays achieved a capital growth of 4.26%.",,"Between January 2000 and June 2026, Karaka Bays achieved a capital growth of 4.26%."
Karori,Karori,2000-01-01,2026-06-01,5.08%,direct,"Between January 2000 and June 2026, Karori achieved a capital growth of 5.08%.",,"Between January 2000 and June 2026, Karori achieved a capital growth of 5.08%."
Kelburn,Kelburn,2000-01-01,2026-06-01,4.18%,direct,"Between January 2000 and June 2026, Kelburn achieved a capital growth of 4.18%.",,"Between January 2000 and June 2026, Kelburn achieved a capital growth of 4.18%."
