Suburb (Internal),Suburb (Datawrapper),Date Start,Date End,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Naenae,Naenae,2000-01-01,2026-06-01,6.08%,direct,"Between January 2000 and June 2026, Naenae achieved a capital growth of 6.08%.",,"Between January 2000 and June 2026, Naenae achieved a capital growth of 6.08%."
Newlands,Newlands,2000-01-01,2026-06-01,5.79%,direct,"Between January 2000 and June 2026, Newlands achieved a capital growth of 5.79%.",,"Between January 2000 and June 2026, Newlands achieved a capital growth of 5.79%."
Newtown,Newtown,2000-01-01,2026-06-01,5.17%,direct,"Between January 2000 and June 2026, Newtown achieved a capital growth of 5.17%.",,"Between January 2000 and June 2026, Newtown achieved a capital growth of 5.17%."
Ngaio,Ngaio,2000-01-01,2026-06-01,5.08%,direct,"Between January 2000 and June 2026, Ngaio achieved a capital growth of 5.08%.",,"Between January 2000 and June 2026, Ngaio achieved a capital growth of 5.08%."
Ngauranga,Ngauranga,2000-01-01,2026-06-01,5.19%,calculated,,"The exact capital growth data for Ngauranga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.19%.","The exact capital growth data for Ngauranga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.19%."
Normandale,Normandale,2000-01-01,2026-06-01,5.55%,direct,"Between January 2000 and June 2026, Normandale achieved a capital growth of 5.55%.",,"Between January 2000 and June 2026, Normandale achieved a capital growth of 5.55%."
Northland,Northland,2000-01-01,2026-06-01,4.54%,direct,"Between January 2000 and June 2026, Northland achieved a capital growth of 4.54%.",,"Between January 2000 and June 2026, Northland achieved a capital growth of 4.54%."
Oriental bay,Oriental bay,2000-01-01,2026-06-01,3.84%,calculated,,"The exact capital growth data for Oriental bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 3.84%.","The exact capital growth data for Oriental bay was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 3.84%."
Otaihanga,Otaihanga,2000-01-01,2026-06-01,,calculated,,"The exact capital growth data for Otaihanga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of .","The exact capital growth data for Otaihanga was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of ."
Otaki,Otaki,2000-01-01,2026-06-01,6.47%,direct,"Between January 2000 and June 2026, Otaki achieved a capital growth of 6.47%.",,"Between January 2000 and June 2026, Otaki achieved a capital growth of 6.47%."
Otaki Beach,Otaki Beach,2000-01-01,2026-06-01,6.57%,direct,"Between January 2000 and June 2026, Otaki Beach achieved a capital growth of 6.57%.",,"Between January 2000 and June 2026, Otaki Beach achieved a capital growth of 6.57%."
Owhiro Bay,Owhiro Bay,2000-01-01,2026-06-01,4.74%,direct,"Between January 2000 and June 2026, Owhiro Bay achieved a capital growth of 4.74%.",,"Between January 2000 and June 2026, Owhiro Bay achieved a capital growth of 4.74%."
Paekakariki,Paekakariki,2000-01-01,2026-06-01,6.07%,direct,"Between January 2000 and June 2026, Paekakariki achieved a capital growth of 6.07%.",,"Between January 2000 and June 2026, Paekakariki achieved a capital growth of 6.07%."
Papakowhai,Papakowhai,2000-01-01,2026-06-01,5.17%,direct,"Between January 2000 and June 2026, Papakowhai achieved a capital growth of 5.17%.",,"Between January 2000 and June 2026, Papakowhai achieved a capital growth of 5.17%."
