Suburb (Internal),Suburb (Datawrapper),2000-01-01,End Date,Capital growth rate,Direct or Calculated,Direct Tool tip,Calculated Tool Tip,Consolidated Tool Tip
Marshland,Marshland,2000-01-01,6/1/2026,5.58%,calculated,,"The exact capital growth data for Marshland was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.58%.","The exact capital growth data for Marshland was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.58%."
Merivale,Merivale,2000-01-01,6/1/2026,6.17%,direct,"Between January 2000 and June 2026, Merivale achieved a capital growth of 6.17%.",,"Between January 2000 and June 2026, Merivale achieved a capital growth of 6.17%."
Middleton,Middleton,2000-01-01,6/1/2026,5.72%,calculated,,"The exact capital growth data for Middleton was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%.","The exact capital growth data for Middleton was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.72%."
Moncks Bay,Moncks Bay,2000-01-01,6/1/2026,5.75%,direct,"Between January 2000 and June 2026, Moncks Bay achieved a capital growth of 5.75%.",,"Between January 2000 and June 2026, Moncks Bay achieved a capital growth of 5.75%."
Mount Pleasant,Mount Pleasant,2000-01-01,6/1/2026,5.47%,direct,"Between January 2000 and June 2026, Mount Pleasant achieved a capital growth of 5.47%.",,"Between January 2000 and June 2026, Mount Pleasant achieved a capital growth of 5.47%."
New Brighton,New Brighton,2000-01-01,6/1/2026,5.81%,direct,"Between January 2000 and June 2026, New Brighton achieved a capital growth of 5.81%.",,"Between January 2000 and June 2026, New Brighton achieved a capital growth of 5.81%."
North New Brighton,North New Brighton,2000-01-01,6/1/2026,6.05%,direct,"Between January 2000 and June 2026, North New Brighton achieved a capital growth of 6.05%.",,"Between January 2000 and June 2026, North New Brighton achieved a capital growth of 6.05%."
Northcote,Northcote,2000-01-01,6/1/2026,6.02%,direct,"Between January 2000 and June 2026, Northcote achieved a capital growth of 6.02%.",,"Between January 2000 and June 2026, Northcote achieved a capital growth of 6.02%."
Northwood,Northwood,2000-01-01,6/1/2026,5.57%,calculated,,"The exact capital growth data for Northwood was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.57%.","The exact capital growth data for Northwood was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.57%."
Opawa,Opawa,2000-01-01,6/1/2026,5.55%,direct,"Between January 2000 and June 2026, Opawa achieved a capital growth of 5.55%.",,"Between January 2000 and June 2026, Opawa achieved a capital growth of 5.55%."
Papanui,Papanui,2000-01-01,6/1/2026,5.99%,direct,"Between January 2000 and June 2026, Papanui achieved a capital growth of 5.99%.",,"Between January 2000 and June 2026, Papanui achieved a capital growth of 5.99%."
Parklands,Parklands,2000-01-01,6/1/2026,5.29%,direct,"Between January 2000 and June 2026, Parklands achieved a capital growth of 5.29%.",,"Between January 2000 and June 2026, Parklands achieved a capital growth of 5.29%."
Phillipstown,Phillipstown,2000-01-01,6/1/2026,5.95%,direct,"Between January 2000 and June 2026, Phillipstown achieved a capital growth of 5.95%.",,"Between January 2000 and June 2026, Phillipstown achieved a capital growth of 5.95%."
Prebbleton,Prebbleton,2000-01-01,6/1/2026,5.33%,calculated,,"The exact capital growth data for Prebbleton was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.33%.","The exact capital growth data for Prebbleton was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 5.33%."
Redcliffs,Redcliffs,2000-01-01,6/1/2026,5.50%,direct,"Between January 2000 and June 2026, Redcliffs achieved a capital growth of 5.50%.",,"Between January 2000 and June 2026, Redcliffs achieved a capital growth of 5.50%."
Redwood,Redwood,2000-01-01,6/1/2026,5.49%,direct,"Between January 2000 and June 2026, Redwood achieved a capital growth of 5.49%.",,"Between January 2000 and June 2026, Redwood achieved a capital growth of 5.49%."
Riccarton,Riccarton,2000-01-01,6/1/2026,5.45%,direct,"Between January 2000 and June 2026, Riccarton achieved a capital growth of 5.45%.",,"Between January 2000 and June 2026, Riccarton achieved a capital growth of 5.45%."
Richmond,Richmond,2000-01-01,6/1/2026,5.57%,direct,"Between January 2000 and June 2026, Richmond achieved a capital growth of 5.57%.",,"Between January 2000 and June 2026, Richmond achieved a capital growth of 5.57%."
Richmond Hill,Richmond Hill,2000-01-01,6/1/2026,6.38%,calculated,,"The exact capital growth data for Richmond Hill was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.38%.","The exact capital growth data for Richmond Hill was not available. However, between January 2000 and June 2026 the surrounding suburbs (which had data) increased by an average of 6.38%."
