,Region,2023,2028,2033,2038,2043,2048,Total Change (%),Grow/Shrink
Kaikoura district,Canterbury Region,"4,150","4,200","4,210","4,180","4,120","4,070",-1.93%,shrink
Hurunui district,Canterbury Region,"13,750","14,150","14,500","14,700","14,850","14,900",8.36%,grow
Waimakariri district,Canterbury Region,"69,100","73,400","77,100","80,500","83,500","86,400",25.04%,grow
Christchurch city,Canterbury Region,"390,200","400,800","414,200","426,400","437,600","447,800",14.76%,grow
Selwyn district,Canterbury Region,"82,900","92,500","100,200","107,500","114,600","121,500",46.56%,grow
Ashburton district,Canterbury Region,"36,400","37,700","38,800","39,800","40,600","41,400",13.74%,grow
Timaru district,Canterbury Region,"48,700","49,400","49,700","49,800","49,600","49,300",1.23%,grow
Mackenzie district,Canterbury Region,"5,460","5,790","6,070","6,290","6,460","6,600",20.88%,grow
Waimate district,Canterbury Region,"8,330","8,470","8,580","8,650","8,700","8,720",4.68%,grow
