Territorial Authority,Over under valued,Absolute value,Over or under valued,Date
Wellington City,-0.1301035238,0.1301035238,undervalued,2/1/2025
Lower Hutt City,-0.01661775084,0.01661775084,undervalued,2/1/2025
Upper Hutt City,0.03498062542,0.03498062542,overvalued,2/1/2025
Porirua City,-0.007198244033,0.007198244033,undervalued,2/1/2025
Kapiti Coast District,0.05535938756,0.05535938756,overvalued,2/1/2025
South Wairarapa District,0.2222072304,0.2222072304,overvalued,2/1/2025
Masterton District,0.0649959508,0.0649959508,overvalued,2/1/2025
Carterton District,0.1150706807,0.1150706807,overvalued,2/1/2025
