Territorial Authority,Price,Date
Ashburton District,519500,2026-06-01
Christchurch City,728500,2026-06-01
Hurunui District,700000,2026-06-01
Kaikoura District,540000,2026-06-01
Mackenzie District,700000,2026-06-01
Selwyn District,795000,2026-06-01
Timaru District,515000,2026-06-01
Waimakariri District,710000,2026-06-01
Waimate District,430000,2026-06-01
