Date,Median sale price
2015-04-01,412000
2015-05-01,405000
2015-06-01,395000
2015-07-01,395000
2015-08-01,400000
2015-09-01,414250
2015-10-01,430000
2015-11-01,435000
2015-12-01,436000
2016-01-01,394000
2016-02-01,456000
2016-03-01,457500
2016-04-01,453000
2016-05-01,465000
2016-06-01,455000
2016-07-01,450000
2016-08-01,460000
2016-09-01,480000
2016-10-01,480000
2016-11-01,505700
2016-12-01,535000
2017-01-01,455000
2017-02-01,527500
2017-03-01,530000
2017-04-01,541000
2017-05-01,525000
2017-06-01,530000
2017-07-01,495000
2017-08-01,506500
2017-09-01,547500
2017-10-01,518500
2017-11-01,550000
2017-12-01,560000
2018-01-01,501000
2018-02-01,550500
2018-03-01,590000
2018-04-01,560000
2018-05-01,580000
2018-06-01,600000
2018-07-01,550000
2018-08-01,590000
2018-09-01,595000
2018-10-01,598000
2018-11-01,620000
2018-12-01,615000
2019-01-01,562500
2019-02-01,646000
2019-03-01,627000
2019-04-01,617077
2019-05-01,620000
2019-06-01,620000
2019-07-01,630000
2019-08-01,638500
2019-09-01,650000
2019-10-01,650000
2019-11-01,690000
2019-12-01,685000
2020-01-01,620000
2020-02-01,718000
2020-03-01,707000
2020-04-01,730000
2020-05-01,679000
2020-06-01,685000
2020-07-01,696800
2020-08-01,720000
2020-09-01,743000
2020-10-01,785000
2020-11-01,790000
2020-12-01,805035
2021-01-01,795000
2021-02-01,899900
2021-03-01,880000
2021-04-01,868000
2021-05-01,885000
2021-06-01,885000
2021-07-01,860000
2021-08-01,860000
2021-09-01,850000
2021-10-01,1000000
2021-11-01,962500
2021-12-01,990000
2022-01-01,915000
2022-02-01,995000
2022-03-01,937000
2022-04-01,930000
2022-05-01,900000
2022-06-01,848000
2022-07-01,809100
2022-08-01,775000
2022-09-01,820000
2022-10-01,833000
2022-11-01,796000
2022-12-01,795000
2023-01-01,765000
2023-02-01,795000
2023-03-01,750000
2023-04-01,805050
2023-05-01,791000
2023-06-01,765000
2023-07-01,733000
2023-08-01,760000
2023-09-01,780000
2023-10-01,790000
2023-11-01,787000
2023-12-01,809000
2024-01-01,760000
2024-02-01,799000
2024-03-01,820000
2024-04-01,820000
2024-05-01,785000
2024-06-01,795000
2024-07-01,765000
2024-08-01,795000
2024-09-01,785000
2024-10-01,795000
2024-11-01,775000
2024-12-01,765000
2025-01-01,752000
2025-02-01,795000
2025-03-01,800000
2025-04-01,771688
2025-05-01,792000
2025-06-01,750000
2025-07-01,755000
2025-08-01,740000
2025-09-01,760000
2025-10-01,775000
2025-11-01,790000
2025-12-01,770000
2026-01-01,730000
2026-02-01,810000
2026-03-01,780000
2026-04-01,765000
2026-05-01,770000
2026-06-01,750000
2026-07-01,725000
