Year ended June,Housing cost,Subject population,Measure,Value,Value Unit,Value Label,Null Reason,Metadata 1,Metadata 2
2025,Property and ground rent,Households with that type of expenditure,Average weekly household expenditure,495.4,nzd,NZD,
2025,Property and ground rent,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.6,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Property and ground rent,Households with that type of expenditure,Percentage of households reporting expenditure,35.2,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property and ground rent,Households with that type of expenditure,Percentage of total housing costs expenditure,36.4,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property and ground rent,Households with that type of expenditure,Percent change from previous year,4.3,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Property and ground rent,Households with that type of expenditure,Level sample error on percent change,2.3,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Other payments connected with renting,Households with that type of expenditure,Average weekly household expenditure,42.6,nzd,NZD,
2025,Other payments connected with renting,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Other payments connected with renting,Households with that type of expenditure,Percentage of households reporting expenditure,8.9,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other payments connected with renting,Households with that type of expenditure,Percentage of total housing costs expenditure,0.8,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other payments connected with renting,Households with that type of expenditure,Percent change from previous year,35.3,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Other payments connected with renting,Households with that type of expenditure,Level sample error on percent change,13.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Total rent payments,Households with that type of expenditure,Average weekly household expenditure,505.5,nzd,NZD,
2025,Total rent payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,1.6,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Total rent payments,Households with that type of expenditure,Percentage of households reporting expenditure,35.2,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total rent payments,Households with that type of expenditure,Percentage of total housing costs expenditure,37.2,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total rent payments,Households with that type of expenditure,Percent change from previous year,9,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Total rent payments,Households with that type of expenditure,Level sample error on percent change,2.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Mortgage principal repayments,Households with that type of expenditure,Average weekly household expenditure,252.6,nzd,NZD,
2025,Mortgage principal repayments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.5,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Mortgage principal repayments,Households with that type of expenditure,Percentage of households reporting expenditure,28.4,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage principal repayments,Households with that type of expenditure,Percentage of total housing costs expenditure,15,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage principal repayments,Households with that type of expenditure,Percent change from previous year,-0.1,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage principal repayments,Households with that type of expenditure,Level sample error on percent change,4.3,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Mortgage interest payments,Households with that type of expenditure,Average weekly household expenditure,452.1,nzd,NZD,
2025,Mortgage interest payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,3,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Mortgage interest payments,Households with that type of expenditure,Percentage of households reporting expenditure,29.6,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage interest payments,Households with that type of expenditure,Percentage of total housing costs expenditure,28,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage interest payments,Households with that type of expenditure,Percent change from previous year,6.8,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Mortgage interest payments,Households with that type of expenditure,Level sample error on percent change,4.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Application and service fees for mortgages,Households with that type of expenditure,Average weekly household expenditure,18.5,nzd,NZD,
2025,Application and service fees for mortgages,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,40.2,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Application and service fees for mortgages,Households with that type of expenditure,Percentage of households reporting expenditure,1.7,percentage,% of households,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Application and service fees for mortgages,Households with that type of expenditure,Percentage of total housing costs expenditure,0.1,percentage,% of total housing costs,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Application and service fees for mortgages,Households with that type of expenditure,Percent change from previous year,28.1,percentage,% change,,Percentages are rounded to one decimal place and are calculated using unrounded figures.
2025,Application and service fees for mortgages,Households with that type of expenditure,Level sample error on percent change,66.4,percentage,% error,,Sampling errors are rounded to one decimal place.
2025,Total mortgage payments,Households with that type of expenditure,Average weekly household expenditure,690.9,nzd,NZD,
2025,Total mortgage payments,Households with that type of expenditure,Relative sampling error for average weekly household expenditure,2.3,percentage,% error,,Sampling errors are rounded to one decimal place.
