Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Sex,Male,15.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Sex,Male,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Male,29.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Male,33.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Sex,Male,32,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Male,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Male,4.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Sex,Male,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Male,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Male,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Sex,Male,1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Sex,Male,7.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Sex,Male,4.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Sex,Male,6.7,percentage,% of people where information available,
