Census Year,Subject population,Disability status,Tenure of household,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,15-29,0.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,15-29,1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,15-29,0.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,30-64,0.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,30-64,0.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,30-64,0.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,65+,1.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,65+,1.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,65+,1.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,Total,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,Total,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Age group,Total,1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Age group,5-14,9.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Age group,5-14,5.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Age group,5-14,8.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Age group,15-29,5.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Age group,15-29,4.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Age group,15-29,5.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Age group,30-64,7.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Age group,30-64,4.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Age group,30-64,7.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Age group,65+,3.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Age group,65+,2.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Age group,65+,3.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Age group,Total,7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Age group,Total,3.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Age group,Total,6.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,5-14,3.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,5-14,2.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Age group,5-14,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,15-29,3.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,15-29,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Age group,15-29,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,30-64,5.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,30-64,4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Age group,30-64,5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,65+,15.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,65+,10.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Age group,65+,14.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,Total,6.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Age group,Total,6.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Age group,Total,5.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Age group,5-14,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Age group,5-14,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Age group,5-14,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Age group,15-29,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Age group,15-29,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Age group,15-29,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Age group,30-64,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Age group,30-64,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Age group,30-64,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Age group,65+,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Age group,65+,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Age group,65+,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Age group,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Age group,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Age group,Total,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,European,2.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,European,4.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,European,2.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,European,36.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,European,22.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,European,34.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,European,18.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,European,26.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,European,18.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,European,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,European,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,European,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,European,24.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,European,28.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,European,25.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,European,2.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,European,4.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,European,2.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,European,0.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,European,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,European,0.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,European,7.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,European,3.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Ethnic group,European,7.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,European,7.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,European,7.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,European,7.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Ethnic group,European,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Ethnic group,European,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Ethnic group,European,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Māori,1.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Māori,2.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Māori,3.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Māori,32.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Māori,22.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Māori,28.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Māori,9.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Māori,12,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Māori,8.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Māori,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Māori,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Māori,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Māori,45.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Māori,52.9,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Māori,49.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Māori,2.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Māori,3.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Māori,2.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Māori,0.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Māori,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Māori,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Māori,4.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Māori,2.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Māori,4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Māori,2.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Māori,2.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Māori,2.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Ethnic group,Māori,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Ethnic group,Māori,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Ethnic group,Māori,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,1.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,2.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Pacific Peoples,27.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Pacific Peoples,19.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Pacific Peoples,23.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Pacific Peoples,5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Pacific Peoples,5.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Pacific Peoples,4.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Pacific Peoples,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Pacific Peoples,0.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Pacific Peoples,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Pacific Peoples,58.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Pacific Peoples,64.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Pacific Peoples,62.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Pacific Peoples,2.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Pacific Peoples,2.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Pacific Peoples,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,0.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,1.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Pacific Peoples,0.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Pacific Peoples,3.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Pacific Peoples,2.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Pacific Peoples,2.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Pacific Peoples,1.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Pacific Peoples,1.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Pacific Peoples,1.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Ethnic group,Pacific Peoples,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Ethnic group,Pacific Peoples,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Ethnic group,Pacific Peoples,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Asian,3.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Asian,4.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Asian,4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Asian,35.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Asian,28.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Asian,34.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Asian,10.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Asian,12.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",District health board,Lakes,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Asian,10.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Asian,0,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Asian,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Asian,0.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Asian,36,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Asian,36.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments made",Ethnic group,Asian,37.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Asian,3.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Asian,5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling not owned and not held in a family trust, rent payments not made",Ethnic group,Asian,3.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Asian,1.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Asian,2.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage arrangements not further defined",Ethnic group,Asian,1.6,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Asian,6.3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Asian,6.4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments made",Ethnic group,Asian,6.2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Asian,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Asian,4,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling held in a family trust, mortgage payments not made",Ethnic group,Asian,3,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,Total stated,Ethnic group,Asian,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,Total stated,Ethnic group,Asian,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,Total stated,Ethnic group,Asian,100,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,1.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,2,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,2.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Middle Eastern/Latin American/African,25,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Middle Eastern/Latin American/African,16.5,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments made",Ethnic group,Middle Eastern/Latin American/African,23.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Middle Eastern/Latin American/African,5.1,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Disabled,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Middle Eastern/Latin American/African,4.8,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Total including disability status unknown,"Dwelling owned or partly owned, mortgage payments not made",Ethnic group,Middle Eastern/Latin American/African,4.7,percentage,% of people where information available,
2018,Census usually resident population aged 5 years and over,Non-disabled,"Dwelling not owned and not held in a family trust, rental arrangements not further defined",Ethnic group,Middle Eastern/Latin American/African,0,percentage,% of people where information available,
