Year ended June,Grouping variable,Category,Measure,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1,Metadata 2
2024,Household size,Three–person household,Median household net worth,Relative sampling error,16,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Median household net worth,Percentage change from previous survey,68.9,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Median household net worth,Sampling error for percentage change,40,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Mean household net worth,Amount,913,nzd,NZD thousands,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Mean household net worth,Relative sampling error,10.8,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Mean household net worth,Percentage change from previous survey,27.2,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Mean household net worth,Sampling error for percentage change,23.2,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Total household net worth,Amount,331274142,nzd,NZD thousands,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Total household net worth,Relative sampling error,12.7,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Total household net worth,Percentage change from previous survey,26.2,percentage,% change,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Total household net worth,Sampling error for percentage change,26.5,percentage,% error,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
2024,Household size,Three–person household,Households,Count,362,number,Number of households,,The number of people in a household is defined as those who usually reside in that household. Two-or-more-person households may or may not include a family nucleus.
