district,final_class,n,median,mean
Christchurch City,Rural,4004,360,2025.5417082917083
Christchurch City,Uncertain,4118,520,763.517727051967
Christchurch City,Urban,163972,130,150.3163344961335
Selwyn,Rural,7098,250,448.5016906170752
Selwyn,Uncertain,1062,302,369.9595103578154
Selwyn,Urban,23940,189,192.2483291562239
