district,final_class,n,median,mean
Christchurch City,Rural,5673,2.2049,22.520394782302134
Christchurch City,Uncertain,10655,0.1224,1.1114480431722196
Christchurch City,Urban,123307,0.0617,0.06224381584176081
Selwyn,Rural,9212,4.09835,51.51160861919236
Selwyn,Uncertain,4671,0.0902,36.12501571397988
Selwyn,Urban,24131,0.0706,0.080860498943268
