final_class,n,median,lower_quartile,upper_quartile,mean
Peri-urban,23698,0.8093,0.1012,4.0217,4.376900210484007
Rural,22853,4.00080013,1.4325,8.02299976,9.875454893326477
Uncertain,7799,0.1779,0.0655,0.990300005,4.052981429624311
Urban,206159,0.0663,0.0506,0.0857,0.1419624272262186
