district,final_class,n,median,mean
Christchurch City,Rural,5665,1880000,5980741.676963813
Christchurch City,Uncertain,10798,600000,1374721.9762919059
Christchurch City,Urban,168523,670000,767031.3404876486
Selwyn,Rural,9216,1320000,2323114.2578125
Selwyn,Uncertain,4671,350000,582158.8739028046
Selwyn,Urban,24714,780000,883607.206441693
