final_class,n,median,lower_quartile,upper_quartile,mean
Peri-urban,24505,0.5185185185185185,0.39880952380952384,0.7283582089552239,0.5709023622227147
Rural,25942,0.6890756302521008,0.4697145877378436,0.9425176348021149,0.6876656481618604
Uncertain,3639,1,0.7828009828009828,1,0.8557179625825438
Urban,257504,0.5151515151515151,0.42592592592592593,0.627906976744186,0.5479893291735288
